510,86Rb,49,37,1.611*10^6,"beta-, beta+",86
511,253Cf,155,98,1.539*10^6,"beta-, alpha",253
512,74As,41,33,1.535*10^6,"beta+, beta-",74
513,230Pa,139,91,1.503*10^6,"beta+, beta-, alpha",230
514,103Pd,57,46,1.468*10^6,beta+,103
515,99Rh,54,45,1.391*10^6,beta+,99
516,48V,25,23,1.380*10^6,beta+,48
517,191Os,115,76,1.331*10^6,beta-,191
518,205Bi,122,83,1.323*10^6,beta+,205
519,156Eu,93,63,1.312*10^6,beta-,156
520,225Ra,137,88,1.287*10^6,beta-,225
521,32P,17,15,1.232*10^6,beta-,32
522,117mSn,67,50,1.21*10^6,IT,117
523,143Pr,84,59,1.172*10^6,beta-,143
524,189Ir,112,77,1.140*10^6,beta+,189
525,136Cs,81,55,1.127*10^6,beta-,136
526,126I,73,53,1.117*10^6,"beta+, beta-",126
527,140Ba,84,56,1.102*10^6,beta-,140
528,126Sb,75,51,1.067*10^6,beta-,126
529,202Tl,121,81,1.057*10^6,beta+,202
530,131mXe,77,54,1.023*10^6,IT,131
531,190Ir,113,77,1.018*10^6,beta+,190
532,131Ba,75,56,9.936*10^5,beta+,131
533,223Ra,135,88,9.876*10^5,alpha,223
534,71Ge,39,32,9.876*10^5,beta+,71
535,147Nd,87,60,9.487*10^5,beta-,147
536,246Pu,152,94,9.366*10^5,beta-,246
537,193mIr,116,77,9.098*10^5,IT,193
538,188Pt,110,78,8.813*10^5,"beta+, alpha",188
539,92mNb,51,41,8.770*10^5,"beta+, alpha",92
540,225Ac,136,89,8.571*10^5,alpha,225
541,131Cs,76,55,8.371*10^5,beta+,131
542,125Sn,75,50,8.329*10^5,beta-,125
543,169Er,101,68,8.115*10^5,beta-,169
544,149Gd,85,64,8.018*10^5,"beta+, alpha",149
545,167Tm,98,69,7.992*10^5,beta+,167
546,129mXe,75,54,7.672*10^5,IT,129
547,206Po,122,84,7.603*10^5,"beta+, alpha",206
548,72Se,38,34,7.258*10^5,beta+,72
549,106mAg,59,47,7.154*10^5,beta+,106
550,171Lu,100,71,7.119*10^5,beta+,171
551,131I,78,53,6.930*10^5,beta-,131
552,257Es,158,99,6.653*10^5,"beta-, SF",257
553,111Ag,64,47,6.437*10^5,beta-,111
554,161Tb,96,65,5.967*10^5,beta-,161
555,237U,145,92,5.832*10^5,beta-,237
556,172Lu,101,71,5.789*10^5,beta+,172
557,177Lu,106,71,5.743*10^5,beta-,177
558,132Cs,77,55,5.599*10^5,"beta+, beta-",132
559,206Bi,123,83,5.394*10^5,beta+,206
560,196Au,117,79,5.328*10^5,"beta+, beta-",196
561,56Ni,28,28,5.249*10^5,beta+,56
562,118Te,66,52,5.184*10^5,beta+,118
563,145Eu,82,63,5.124*10^5,beta+,145
564,120mSb,69,51,4.977*10^5,beta+,120
565,52Mn,27,25,4.831*10^5,beta+,52
566,148Pm,87,61,4.638*10^5,beta-,148
